density,conductivity,solvent1,solvent2,solvent3,solvent4,solvent5,solvent6,solvent7,solvent8,additive1,additive2,additive3,additive4,additive5,additive6,additive7,additive8,additive9,additive10,additive11,additive12,additive13,additive14,additive15,additive16,additive17,additive18,additive19,additive20,additive21,additive22,additive23,additive24,additive25,additive26,additive27,LiPF6,additive28,additive29,additive30,additive31,additive32,additive33,additive34,additive35,additive36
1.1672,5.79,9.375,0,18.75,0,28.125,0,0,6.25,0,0,5,0,0,8,0,0,0,0,1,0,2,2.5,0,0,2,0,0,0,0,0,0,0,0.5,0,0,16.5,0,0,0,0,0,0,0,0,0
1.1704,5.6,9.3,0,18.6,0,27.9,0,0,6.2,0,0,5,0,0,8,0,0,0,0,1,0,2,2.5,0,0,2,0,0,0,0,0,0,0,0.5,0,0,16.5,0,0.5,0,0,0,0,0,0,0
1.2004,8.6,30,0,21.4,28,0,0,0,4.2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0.6
1.234,8.98,25.8,9,0,46.45,0,0,0,0,0,0,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,14.5,0,0,1.5,0,0,0,0.25,0,0
1.2337,9.01,25.8,9,0,46.2,0,0,0,0,0,0,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,14.5,0,0,1.5,0,0,0,0.5,0,0
1.2466,6.48,15.22,0,6.087,0,21.3,0,0,15.22,3.043,0,5,0,0,15,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1.25,0,0,0,0,14.38,0.5,0,0,0,0,0,0,0,0
1.2404,6.28,16.47,0,16.47,0,13.17,0,0,16.47,3.29,0,4,0,0,10,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1.25,0,0,0,0,14.38,0.5,0,0,0,0,0,0,0,0
1.2028,6.81,18.22,0,7.29,0,25.5,0,0,18.22,3.64,0,3,0,0,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1.25,0,0,0,0,14.38,0.5,0,0,0,0,0,0,0,0
1.2012,6.59,17.72,0,7.09,0,24.8,0,0,17.72,3.54,0,3,0,0,5,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1.25,0,0,0,0,14.38,0.5,0,0,0,0,0,0,0,0
1.2071,6.47,17.22,0,6.89,0,24.1,0,0,17.22,3.44,0,5,0,0,5,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1.25,0,0,0,0,14.38,0.5,0,0,0,0,0,0,0,0
1.21,6.21,14.174,0,28.348,0,10.631,0,0,14.174,3.543,0,5,0,0,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1.25,0,0,0,0,14.38,0.5,0,0,0,0,0,0,0,0
1.2382,6.42,15.22,0,6.09,0,21.3,0,0,15.22,3.04,0,3,0,0,15,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1.25,0,0,0,0,14.38,0.5,0,0,0,0,0,0,0,0
1.2371,6.04,12.174,0,24.348,0,9.1305,0,0,12.174,3.0435,0,3,0,0,15,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1.25,0,0,0,0,14.38,0.5,0,0,0,0,0,0,0,0
1.2116,6.67,17.72,0,7.09,0,24.8,0,0,17.72,3.54,0,5,0,0,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1.25,0,0,0,0,14.38,0.5,0,0,0,0,0,0,0,0
1.1988,6.18,14.174,0,28.348,0,10.6305,0,0,14.174,3.5435,0,3,0,0,5,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1.25,0,0,0,0,14.38,0.5,0,0,0,0,0,0,0,0
