density,conductivity,E1,E2,E3,E4,P1,P2,P3,P4,P5,L04,L10,L11,L12,L13,L14,L11Mytest,P7,P8,A02,A03,A05,A06,A07,M01,M5,M18,M26,M72,L06,L07,T15My,C15,C16,C52,R01,R04,A,F2,TF,DVB,T16,T16B,T25
1.189,9,26.24,0,0,61.24,0,0,0,0,12.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.222,8.7,16.63,0,12.47,41.57,0,0,0,0,12.53,0,0,0,0,0,0,0,2.51,0,12.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,0,0,0
1.226,8.3,16.99,0,0,48.46,0,0,0,16.99,12.99,0,1,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0
1.221,6.3,24.99,0,49.48,0,0,0,0,0,13,0,0,0,0,0,0,0,1.5,2,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,8,0,0,0,0,0.03,0,0,0
1.183,7.5,14.76,0,18.44,7.38,14.76,0,0,14.76,13.13,0,0.1,0,0,0,0,0,0,4.5,5,0,0,0,0,0,0,0,0,0,3,0,0,3.69,0.5,0,0,0,0,0,0,0,0,0,0
1.203,6.8,14.61,0,40.19,0,0,0,0,14.62,13.13,0,0,0,0,0,0,0,0.3,4.5,5,0,0,0,0,0,0,0,0,0,3,0,0,3.65,1,0,0,0,0,0,0,0,0,0,0
1.179,7.3,14.75,0,25.82,0,14.76,0,0,14.76,13.13,0,0.1,0,0,0,0,0,0,4.5,5,0,0,0,0,0,0,0,0,0,3,0,0,3.69,0.5,0,0,0,0,0,0,0,0,0,0
1.221,8.4,24.64,0,16.49,37.81,0,0,0,0,13.49,0,0,0.48,0,0,0,0,0,0,6,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
1.185,7.1,18.56,0,11.14,0,25.99,0,0,14.85,13.75,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0,3.71,2,0,0,0,0,0,0,0,0,0,0
1.226,10.7,25.88,34.5,0,25.88,0,0,0,0,13.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.211,7.3,19.99,0,37.62,13.99,0,0,0,4.2,13.99,0,0,0,0,0,0,0,0,3,5,0,0,0.5,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07,0,0.05,0.09
1.23,10.7,11.99,41.98,0,19.99,0,0,0,7,13.99,0,0,0,0,0,0,0,0.5,0,4,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0
1.246,11.8,11.99,61.97,0,0,0,0,0,7,13.99,0,0,0,0,0,0,0,0.5,0,4,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0
1.215,7.5,24.99,4.2,39.44,10.8,0,0,0,0,14,0,0,0,0.5,0,0,0,2,3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.03,0,0,0.05
1.215,7.6,24.99,0,39.44,10.8,0,0,0,4.2,14,0,0,0,0.5,0,0,0,2,3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.03,0,0,0.05
1.226,8.5,27.99,0,10,43.69,0,0,0,0,14,0,0,0,0,0,0.5,0,1.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0
1.248,11.2,20.49,45.29,0,15,0,0,0,0,14.2,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0
1.249,11.3,20.5,45.3,0,14.5,0,0,0,0,14.2,0.45,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0
1.204,7.1,22.2,0,33.3,0,11.1,0,0,7.4,14.37,0,0,0,0,0,0,0,0,4,4.5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.03
1.204,7.1,22.2,0,33.3,0,11.1,0,0,7.4,14.37,0,0,0,0,0,0,0,0,4,4.5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.03
1.195,7.3,22.98,0,25.81,0,15.32,0,0,7.66,14.38,0,0,0,0,0,0,0,0,3,3,0,0.49,0,0.5,0,0,0,0,0,1,0,2,3.83,0,0,0,0,0,0,0,0,0,0,0.03
1.183,8.8,14.64,0,16.31,0,0,0,21.97,14.64,14.38,0,0,0,0,0,0,0,0.4,4,5,0,0,0,0,0,0,0,0,0,1,0,4,3.66,0,0,0,0,0,0,0,0,0,0,0
1.18,10.2,14.44,0,10.83,0,0,14.44,14.44,14.44,14.38,0,0,0,0,0,0,0,0.4,4,6,0,0,0,0,0,0,0,0,0,3,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0
1.179,7.7,14.51,0,18.13,0,14.51,0,7.25,14.51,14.38,0,0.1,0,0,0,0,0,0,4.5,5,0,0,0,0,0,0,0,0,0,3,0,0,3.63,0.5,0,0,0,0,0,0,0,0,0,0
1.222,6.4,6.25,0,43.77,0,0,0,0,12.51,14.38,0,0,0,0,0,0,0,0.1,5,15,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.183,8.7,14.65,0,16.3,0,0,0,21.96,14.64,14.38,0,0,0,0,0,0,0,0.4,4,5,0,0,0,0,0,0,0,0,0,1,0,4,3.66,0,0,0,0,0,0,0,0,0,0,0
